"Nest_ID","Year","Elevation","FirstEggDate","IncubationStart","ExpectedHatch","HatchDate","D8","D16","Clutch","Brood..D16.","Status","RFID","OLD_RFID","P_sex"
"45",2019,"L","25-May-19","31-May-19","12-Jun-19","13-Jun-19","20-Jun-19","28-Jun-19",6,6,"Success","0700EDC70B","","M"
"45",2019,"L","25-May-19","31-May-19","12-Jun-19","13-Jun-19","20-Jun-19","28-Jun-19",6,6,"Success","0700EDC805","","F"
"47-1",2019,"L","17-May-19","28-May-19","9-Jun-19","11-Jun-19","18-Jun-19","26-Jun-19",8,NA,"Depredated","0700EE187D","","M"
"47-1",2019,"L","17-May-19","28-May-19","9-Jun-19","11-Jun-19","18-Jun-19","26-Jun-19",8,NA,"Depredated","0700EDCC34","","F"
"49-1",2019,"L","26-May-19","31-May-19","12-Jun-19","14-Jun-19","21-Jun-19","29-Jun-19",6,6,"Success","011016FF71","","M"
"49-1",2019,"L","26-May-19","31-May-19","12-Jun-19","14-Jun-19","21-Jun-19","29-Jun-19",6,6,"Success","0700EDE0C0","","F"
"50",2019,"L","16-May-19","23-May-19","4-Jun-19","9-Jun-19","16-Jun-19","24-Jun-19",7,7,"Success","0700EDD85C","","M"
"50",2019,"L","16-May-19","23-May-19","4-Jun-19","9-Jun-19","16-Jun-19","24-Jun-19",7,7,"Success","0700EE378F","","F"
"51",2019,"L","17-May-19","23-May-19","4-Jun-19","5-Jun-19","12-Jun-19","20-Jun-19",6,6,"Success","0700EDF56D","","M"
"51",2019,"L","17-May-19","23-May-19","4-Jun-19","5-Jun-19","12-Jun-19","20-Jun-19",6,6,"Success","0700EDA295","","F"
"51-1",2019,"L","16-May-19","28-May-19","9-Jun-19","9-Jun-19","16-Jun-19","24-Jun-19",7,7,"Success","0700EDD2AF","","M"
"51-1",2019,"L","16-May-19","28-May-19","9-Jun-19","9-Jun-19","16-Jun-19","24-Jun-19",7,7,"Success","0700ED9B18","110170075","F"
"55-1",2019,"L","18-May-19","28-May-19","9-Jun-19","9-Jun-19","16-Jun-19","24-Jun-19",7,7,"Success","0700EE38DF","","M"
"55-1",2019,"L","18-May-19","28-May-19","9-Jun-19","9-Jun-19","16-Jun-19","24-Jun-19",7,7,"Success","300022078","","F"
"55-4",2019,"L","17-May-19","28-May-19","9-Jun-19","10-Jun-19","17-Jun-19","25-Jun-19",9,8,"Success","01101714A5","","M"
"55-4",2019,"L","17-May-19","28-May-19","9-Jun-19","10-Jun-19","17-Jun-19","25-Jun-19",9,8,"Success","0700EDCC90","","F"
"55-7",2019,"L","19-May-19","28-May-19","9-Jun-19","10-Jun-19","17-Jun-19","25-Jun-19",7,3,"Success","0700EDAE57","","M"
"55-7",2019,"L","19-May-19","28-May-19","9-Jun-19","10-Jun-19","17-Jun-19","25-Jun-19",7,3,"Success","110172821","","F"
"58-2",2019,"L","28-Jun-19","4-Jun-19","16-Jun-19","16-Jun-19","23-Jun-19","1-Jul-19",6,6,"Success","0300030A60","","M"
"58-2",2019,"L","28-Jun-19","4-Jun-19","16-Jun-19","16-Jun-19","23-Jun-19","1-Jul-19",6,6,"Success","0700EE455A","","F"
"60",2019,"L","18-May-19","24-May-19","5-Jun-19","6-Jun-19","13-Jun-19","21-Jun-19",6,5,"Success","011017388B","","M"
"60",2019,"L","18-May-19","24-May-19","5-Jun-19","6-Jun-19","13-Jun-19","21-Jun-19",6,5,"Success","01101742F9","","F"
"61-2",2019,"L","14-May-19","23-May-19","4-Jun-19","4-Jun-19","11-Jun-19","19-Jun-19",7,NA,"Depredated","UNKNOWN","","M"
"61-2",2019,"L","14-May-19","23-May-19","4-Jun-19","4-Jun-19","11-Jun-19","19-Jun-19",7,NA,"Depredated","0700ED9715","","F"
"62-1",2019,"L","15-May-19","22-May-19","3-Jun-19","6-Jun-19","13-Jun-19","21-Jun-19",7,6,"Success","0300020B16","","M"
"62-1",2019,"L","15-May-19","22-May-19","3-Jun-19","6-Jun-19","13-Jun-19","21-Jun-19",7,6,"Success","0700EE39D0","","F"
"64",2019,"L","24-May-19","31-May-19","12-Jun-19","14-Jun-19","21-Jun-19","29-Jun-19",7,7,"Success","0700EDC24A","","M"
"64",2019,"L","24-May-19","31-May-19","12-Jun-19","14-Jun-19","21-Jun-19","29-Jun-19",7,7,"Success","0700EE1CDF","","F"
"64B-2",2019,"L","28-May-19","3-Jun-19","15-Jun-19","17-Jun-19","24-Jun-19","2-Jul-19",6,6,"Success","0700ED8D57","","M"
"64B-2",2019,"L","28-May-19","3-Jun-19","15-Jun-19","17-Jun-19","24-Jun-19","2-Jul-19",6,6,"Success","0700EDDDAF","","F"
"65-1",2019,"L","24-May-19","30-May-19","11-Jun-19","14-Jun-19","21-Jun-19","29-Jun-19",6,6,"Success","0700EE1F4A","","M"
"65-1",2019,"L","24-May-19","30-May-19","11-Jun-19","14-Jun-19","21-Jun-19","29-Jun-19",6,6,"Success","0110171EC2","","F"
"67",2019,"L","26-May-19","2-Jun-19","14-Jun-19","15-Jun-19","22-Jun-19","30-Jun-19",7,5,"Success","011017055D","","M"
"67",2019,"L","26-May-19","2-Jun-19","14-Jun-19","15-Jun-19","22-Jun-19","30-Jun-19",7,5,"Success","0700ED8EAF","","F"
"67-2",2019,"L","1-Jun-19","8-Jun-19","20-Jun-19","21-Jun-19","28-Jun-19","6-Jul-19",7,6,"Success","0700EDF928","0700EE2425","M"
"67-2",2019,"L","1-Jun-19","8-Jun-19","20-Jun-19","21-Jun-19","28-Jun-19","6-Jul-19",7,6,"Success","0700EDE859","","F"
"67-4",2019,"L","24-May-19","1-Jun-19","13-Jun-19","14-Jun-19","21-Jun-19","29-Jun-19",7,7,"Success","0700EDE4F9","","M"
"67-4",2019,"L","24-May-19","1-Jun-19","13-Jun-19","14-Jun-19","21-Jun-19","29-Jun-19",7,7,"Success","0700EDC408","","F"
"68",2019,"L","18-May-19","28-May-19","9-Jun-19","10-Jun-19","17-Jun-19","25-Jun-19",7,7,"Success","0700EDDA07","","M"
"68",2019,"L","18-May-19","28-May-19","9-Jun-19","10-Jun-19","17-Jun-19","25-Jun-19",7,7,"Success","0700EE29F8","","F"
"71",2019,"L","28-May-19","3-Jun-19","15-Jun-19","16-Jun-19","23-Jun-19","1-Jul-19",6,6,"Success","1.10E+13","","M"
"71",2019,"L","28-May-19","3-Jun-19","15-Jun-19","16-Jun-19","23-Jun-19","1-Jul-19",6,6,"Success","0700EDAAAB","","F"
"73",2019,"L","16-May-19","23-May-19","4-Jun-19","5-Jun-19","12-Jun-19","20-Jun-19",7,NA,"Success","UNKNOWN","","M"
"73",2019,"L","16-May-19","23-May-19","4-Jun-19","5-Jun-19","12-Jun-19","20-Jun-19",7,NA,"Success","0700EDA87B","","F"
"75",2019,"L","19-May-19","25-May-19","6-Jun-19","9-Jun-19","16-Jun-19","24-Jun-19",6,NA,"Depredated","0700EE2C4F","","M"
"75",2019,"L","19-May-19","25-May-19","6-Jun-19","9-Jun-19","16-Jun-19","24-Jun-19",6,NA,"Depredated","UNKNOWN","","F"
"77",2019,"L","15-May-19","23-May-19","4-Jun-19","5-Jun-19","12-Jun-19","20-Jun-19",8,1,"Success","0700EE0441","","M"
"77",2019,"L","15-May-19","23-May-19","4-Jun-19","5-Jun-19","12-Jun-19","20-Jun-19",8,1,"Success","0700EE279D","","F"
"80",2019,"L","19-May-19","26-May-19","7-Jun-19","9-Jun-19","16-Jun-19","24-Jun-19",7,5,"Success","0700EE133E","","M"
"80",2019,"L","19-May-19","26-May-19","7-Jun-19","9-Jun-19","16-Jun-19","24-Jun-19",7,5,"Success","0700EDC2B6","","F"
"81",2019,"L","18-May-19","28-May-19","9-Jun-19","10-Jun-19","17-Jun-19","25-Jun-19",8,7,"Success","0700ED9AFA","","M"
"81",2019,"L","18-May-19","28-May-19","9-Jun-19","10-Jun-19","17-Jun-19","25-Jun-19",8,7,"Success","0700EE38DB","","F"
"82",2019,"L","13-May-19","22-May-19","3-Jun-19","5-Jun-19","12-Jun-19","20-Jun-19",8,7,"Success","0700ED88B3","","M"
"82",2019,"L","13-May-19","22-May-19","3-Jun-19","5-Jun-19","12-Jun-19","20-Jun-19",8,7,"Success","UNKNOWN","","F"
"86",2019,"L","19-May-19","1-Jun-19","13-Jun-19","13-Jun-19","20-Jun-19","28-Jun-19",7,7,"Success","0700EE165F","","M"
"86",2019,"L","19-May-19","1-Jun-19","13-Jun-19","13-Jun-19","20-Jun-19","28-Jun-19",7,7,"Success","0700EDAA44","","F"
"87",2019,"L","27-May-19","3-Jun-19","15-Jun-19","16-Jun-19","23-Jun-19","1-Jul-19",7,6,"Success","011017A296","","M"
"87",2019,"L","27-May-19","3-Jun-19","15-Jun-19","16-Jun-19","23-Jun-19","1-Jul-19",7,6,"Success","0700EDDCB3","","F"
"87B",2019,"L","23-May-19","1-Jun-19","13-Jun-19","16-Jun-19","23-Jun-19","1-Jul-19",8,NA,"Depredated","0700EDF10F","","M"
"87B",2019,"L","23-May-19","1-Jun-19","13-Jun-19","16-Jun-19","23-Jun-19","1-Jul-19",8,NA,"Depredated","0700EE0B93","","F"
"89",2019,"L","15-May-19","22-May-19","3-Jun-19","6-Jun-19","13-Jun-19","21-Jun-19",7,6,"Success","0700EDBE2D","","M"
"89",2019,"L","15-May-19","22-May-19","3-Jun-19","6-Jun-19","13-Jun-19","21-Jun-19",7,6,"Success","0700EDB4A7","","F"
"90A",2019,"L","19-May-19","28-May-19","9-Jun-19","10-Jun-19","17-Jun-19","25-Jun-19",8,8,"Success","0700EE0D4A","","M"
"90A",2019,"L","19-May-19","28-May-19","9-Jun-19","10-Jun-19","17-Jun-19","25-Jun-19",8,8,"Success","0700EDDB07","","F"
"92",2019,"L","3-Jun-19","11-Jun-19","23-Jun-19","23-Jun-19","30-Jun-19","8-Jul-19",7,6,"Success","011016D578","","M"
"92",2019,"L","3-Jun-19","11-Jun-19","23-Jun-19","23-Jun-19","30-Jun-19","8-Jul-19",7,6,"Success","011016E703","","F"
"93",2019,"L","16-May-19","24-May-19","5-Jun-19","7-Jun-19","14-Jun-19","22-Jun-19",8,7,"Success","0700EDFF57","","M"
"93",2019,"L","16-May-19","24-May-19","5-Jun-19","7-Jun-19","14-Jun-19","22-Jun-19",8,7,"Success","0700EDDFBD","","F"
"94",2019,"L","31-May-19","5-Jun-19","17-Jun-19","19-Jun-19","26-Jun-19","4-Jul-19",7,7,"Success","0700ED90EB","","M"
"94",2019,"L","31-May-19","5-Jun-19","17-Jun-19","19-Jun-19","26-Jun-19","4-Jul-19",7,7,"Success","0700EE3D48","","F"
"1-1",2018,"H","31-May-18","7-Jun-18","19-Jun-18","20-Jun-18","27-Jun-18","5-Jul-18",8,NA,"Depredated","0700EDBFAD","","M"
"1-1",2018,"H","31-May-18","7-Jun-18","19-Jun-18","20-Jun-18","27-Jun-18","5-Jul-18",8,NA,"Depredated","011017987F","","F"
"1",2018,"H","26-May-18","2-Jun-18","14-Jun-18","","6-Jan-00","14-Jan-00",2,NA,"Success","0700EDADD1","","M"
"1",2018,"H","26-May-18","2-Jun-18","14-Jun-18","","6-Jan-00","14-Jan-00",2,NA,"Success","0110179DD5","","F"
"5-2",2018,"H","23-May-18","2-Jun-18","14-Jun-18","14-Jun-18","21-Jun-18","29-Jun-18",7,NA,"Depredated","030001F664","","M"
"5-2",2018,"H","23-May-18","2-Jun-18","14-Jun-18","14-Jun-18","21-Jun-18","29-Jun-18",7,NA,"Depredated","0700EDABF7","","F"
"10",2018,"H","24-May-18","3-Jun-18","15-Jun-18","15-Jun-18","22-Jun-18","30-Jun-18",8,NA,"Depredated","030001F885","","M"
"10",2018,"H","24-May-18","3-Jun-18","15-Jun-18","15-Jun-18","22-Jun-18","30-Jun-18",8,NA,"Depredated","0700ED9998","","F"
"12",2018,"H","31-May-18","6-Jun-18","18-Jun-18","18-Jun-18","25-Jun-18","3-Jul-18",6,NA,"Depredated","0700EE00BC","","M"
"12",2018,"H","31-May-18","6-Jun-18","18-Jun-18","18-Jun-18","25-Jun-18","3-Jul-18",6,NA,"Depredated","01101796AE","","F"
"13",2018,"H","24-May-18","31-May-18","12-Jun-18","13-Jun-18","20-Jun-18","28-Jun-18",6,NA,"Depredated","0700EE3582","","M"
"13",2018,"H","24-May-18","31-May-18","12-Jun-18","13-Jun-18","20-Jun-18","28-Jun-18",6,NA,"Depredated","0700ED870D","","F"
"15",2018,"H","24-May-18","2-Jun-18","14-Jun-18","16-Jun-18","23-Jun-18","1-Jul-18",9,NA,"Depredated","0700EDC3CB","","M"
"15",2018,"H","24-May-18","2-Jun-18","14-Jun-18","16-Jun-18","23-Jun-18","1-Jul-18",9,NA,"Depredated","0700EDD2A3","","F"
"17-1",2018,"H","26-May-18","3-Jun-18","15-Jun-18","16-Jun-18","23-Jun-18","1-Jul-18",7,NA,"Depredated","0700EE0329","","M"
"17-1",2018,"H","26-May-18","3-Jun-18","15-Jun-18","16-Jun-18","23-Jun-18","1-Jul-18",7,NA,"Depredated","0700ED9947","","F"
"17-3",2018,"H","2-Jun-18","8-Jun-18","20-Jun-18","21-Jun-18","28-Jun-18","6-Jul-18",6,NA,"Depredated","0700EDDAA7","","M"
"17-3",2018,"H","2-Jun-18","8-Jun-18","20-Jun-18","21-Jun-18","28-Jun-18","6-Jul-18",6,NA,"Depredated","0700ED990E","","F"
"22",2018,"H","26-May-18","3-Jun-18","15-Jun-18","18-Jun-18","25-Jun-18","3-Jul-18",7,NA,"Depredated","0700EE4300","","M"
"22",2018,"H","26-May-18","3-Jun-18","15-Jun-18","18-Jun-18","25-Jun-18","3-Jul-18",7,NA,"Depredated","030001A0E8","","F"
"22-B",2018,"H","2-Jun-18","8-Jun-18","20-Jun-18","21-Jun-18","28-Jun-18","6-Jul-18",7,NA,"Depredated","0700ED9AAB","","M"
"22-B",2018,"H","2-Jun-18","8-Jun-18","20-Jun-18","21-Jun-18","28-Jun-18","6-Jul-18",7,NA,"Depredated","011017A7DE","","F"
"24-1",2018,"H","31-May-18","7-Jun-18","19-Jun-18","22-Jun-18","29-Jun-18","7-Jul-18",8,NA,"Depredated","0700EDF64A","","M"
"24-1",2018,"H","31-May-18","7-Jun-18","19-Jun-18","22-Jun-18","29-Jun-18","7-Jul-18",8,NA,"Depredated","0700EDC0C6","","F"
"26",2018,"H","6-Jun-18","3-Jun-18","15-Jun-18","22-Jun-18","29-Jun-18","7-Jul-18",8,NA,"Depredated","01101797F0","","M"
"26",2018,"H","6-Jun-18","3-Jun-18","15-Jun-18","22-Jun-18","29-Jun-18","7-Jul-18",8,NA,"Depredated","0700ED9084","","F"
"28-1A",2018,"H","24-May-18","2-Jun-18","14-Jun-18","14-Jun-18","21-Jun-18","29-Jun-18",6,NA,"Depredated","01101799A2","","M"
"28-1A",2018,"H","24-May-18","2-Jun-18","14-Jun-18","14-Jun-18","21-Jun-18","29-Jun-18",6,NA,"Depredated","0700ED8BD1","","F"
"28-2",2018,"H","6-Jun-18","13-Jun-18","25-Jun-18","25-Jun-18","2-Jul-18","10-Jul-18",8,NA,"Depredated","0700ED98EA","","M"
"28-2",2018,"H","6-Jun-18","13-Jun-18","25-Jun-18","25-Jun-18","2-Jul-18","10-Jul-18",8,NA,"Depredated","011017975A","","F"
"29A",2018,"H","25-May-18","2-Jun-18","14-Jun-18","17-Jun-18","24-Jun-18","2-Jul-18",7,5,"Success","0110179BAB","","M"
"29A",2018,"H","25-May-18","2-Jun-18","14-Jun-18","17-Jun-18","24-Jun-18","2-Jul-18",7,5,"Success","0700EDCB97","","F"
"29-3",2018,"H","23-May-18","1-Jun-18","13-Jun-18","16-Jun-18","23-Jun-18","1-Jul-18",8,NA,"Depredated","0700EDD4DE","","M"
"29-3",2018,"H","23-May-18","1-Jun-18","13-Jun-18","16-Jun-18","23-Jun-18","1-Jul-18",8,NA,"Depredated","011017A83A","","F"
"31",2018,"H","7-Jun-18","13-Jun-18","25-Jun-18","27-Jun-18","4-Jul-18","12-Jul-18",6,NA,"Depredated","0700EDD65F","","M"
"31",2018,"H","7-Jun-18","13-Jun-18","25-Jun-18","27-Jun-18","4-Jul-18","12-Jul-18",6,NA,"Depredated","0700ED9194","","F"
"31-2",2018,"H","6-Jun-18","11-Jun-18","23-Jun-18","26-Jun-18","3-Jul-18","11-Jul-18",5,4,"Success","0700EDA702","","M"
"31-2",2018,"H","6-Jun-18","11-Jun-18","23-Jun-18","26-Jun-18","3-Jul-18","11-Jul-18",5,4,"Success","01101799DA","","F"
"33",2018,"H","26-May-18","2-Jun-18","14-Jun-18","18-Jun-18","25-Jun-18","3-Jul-18",6,NA,"Depredated","0700EDE028","","M"
"33",2018,"H","26-May-18","2-Jun-18","14-Jun-18","18-Jun-18","25-Jun-18","3-Jul-18",6,NA,"Depredated","0700EDA11E","","F"
"33-2",2018,"H","3-Jun-18","9-Jun-18","21-Jun-18","22-Jun-18","29-Jun-18","7-Jul-18",7,NA,"Depredated","0700EDDE2F","","M"
"33-2",2018,"H","3-Jun-18","9-Jun-18","21-Jun-18","22-Jun-18","29-Jun-18","7-Jul-18",7,NA,"Depredated","0700EE0395","","F"
"33-5",2018,"H","28-May-18","3-Jun-18","15-Jun-18","18-Jun-18","25-Jun-18","3-Jul-18",7,NA,"Depredated","0700ED870D","","M"
"33-5",2018,"H","28-May-18","3-Jun-18","15-Jun-18","18-Jun-18","25-Jun-18","3-Jul-18",7,NA,"Depredated","0700EDF415","","F"
"35-1",2018,"H","25-May-18","2-Jun-18","14-Jun-18","16-Jun-18","23-Jun-18","1-Jul-18",7,NA,"Depredated","0700EE42B1","","M"
"35-1",2018,"H","25-May-18","2-Jun-18","14-Jun-18","16-Jun-18","23-Jun-18","1-Jul-18",7,NA,"Depredated","0700EE3C13","","F"
"35-1A",2018,"H","9-Jun-18","15-Jun-18","27-Jun-18","29-Jun-18","6-Jul-18","14-Jul-18",8,8,"Success","0700EDB721","","M"
"35-1A",2018,"H","9-Jun-18","15-Jun-18","27-Jun-18","29-Jun-18","6-Jul-18","14-Jul-18",8,8,"Success","0700ED865D","","F"
"39",2018,"H","2-Jun-18","7-Jun-18","19-Jun-18","22-Jun-18","29-Jun-18","7-Jul-18",6,NA,"Success","0700EE32A9","","M"
"39",2018,"H","2-Jun-18","7-Jun-18","19-Jun-18","22-Jun-18","29-Jun-18","7-Jul-18",6,NA,"Success","0700EDE518","","F"
"40",2018,"H","1-Jun-18","6-Jun-18","18-Jun-18","20-Jun-18","27-Jun-18","5-Jul-18",6,NA,"Depredated","0700EE1431","","M"
"40",2018,"H","1-Jun-18","6-Jun-18","18-Jun-18","20-Jun-18","27-Jun-18","5-Jul-18",6,NA,"Depredated","0700ED97C3","","F"
"43",2018,"H","30-May-18","2-Jun-18","14-Jun-18","17-Jun-18","24-Jun-18","2-Jul-18",4,NA,"Depredated","011017A28B","","M"
"43",2018,"H","30-May-18","2-Jun-18","14-Jun-18","17-Jun-18","24-Jun-18","2-Jul-18",4,NA,"Depredated","0700EDEDF9","","F"
"43-2",2018,"H","26-May-18","2-Jun-18","14-Jun-18","16-Jun-18","23-Jun-18","1-Jul-18",8,NA,"Depredated","011017A7DF","","M"
"43-2",2018,"H","26-May-18","2-Jun-18","14-Jun-18","16-Jun-18","23-Jun-18","1-Jul-18",8,NA,"Depredated","0700EDB70E","","F"
"1A",2018,"H","20-May-18","27-May-18","8-Jun-18","10-Jun-18","17-Jun-18","25-Jun-18",7,NA,"Depredated","0700EDAB8F","","M"
"1A",2018,"H","20-May-18","27-May-18","8-Jun-18","10-Jun-18","17-Jun-18","25-Jun-18",7,NA,"Depredated","0110179A53","","F"
"4A",2018,"H","22-May-18","30-May-18","11-Jun-18","12-Jun-18","19-Jun-18","27-Jun-18",6,NA,"Depredated","030002B8FF","","M"
"4A",2018,"H","22-May-18","30-May-18","11-Jun-18","12-Jun-18","19-Jun-18","27-Jun-18",6,NA,"Depredated","0300026CA0","","F"
"6A",2018,"H","29-May-18","5-Jun-18","17-Jun-18","18-Jun-18","25-Jun-18","3-Jul-18",8,NA,"Depredated","011017A21B","","M"
"6A",2018,"H","29-May-18","5-Jun-18","17-Jun-18","18-Jun-18","25-Jun-18","3-Jul-18",8,NA,"Depredated","010799F978","","F"
"7A",2018,"H","1-Jun-18","8-Jun-18","20-Jun-18","22-Jun-18","29-Jun-18","7-Jul-18",8,NA,"Depredated","0110179CC6","","M"
"7A",2018,"H","1-Jun-18","8-Jun-18","20-Jun-18","22-Jun-18","29-Jun-18","7-Jul-18",8,NA,"Depredated","0700EE1132","","F"
"12A",2018,"H","28-May-18","4-Jun-18","16-Jun-18","18-Jun-18","25-Jun-18","3-Jul-18",8,NA,"Depredated","0700EE2818","","M"
"12A",2018,"H","28-May-18","4-Jun-18","16-Jun-18","18-Jun-18","25-Jun-18","3-Jul-18",8,NA,"Depredated","0700ED985B","","F"
"18A",2018,"H","1-Jun-18","8-Jun-18","20-Jun-18","21-Jun-18","28-Jun-18","6-Jul-18",8,8,"Success","011017A0F6","","M"
"18A",2018,"H","1-Jun-18","8-Jun-18","20-Jun-18","21-Jun-18","28-Jun-18","6-Jul-18",8,8,"Success","0700EE1015","","F"
"21A",2018,"H","23-May-18","30-May-18","11-Jun-18","13-Jun-18","20-Jun-18","28-Jun-18",7,7,"Success","0700EE34A2","","M"
"21A",2018,"H","23-May-18","30-May-18","11-Jun-18","13-Jun-18","20-Jun-18","28-Jun-18",7,7,"Success","0700EE1410","","F"
"B2",2018,"H","25-May-18","3-Jun-18","15-Jun-18","16-Jun-18","23-Jun-18","1-Jul-18",6,NA,"Depredated","0700EDB49C","","M"
"B2",2018,"H","25-May-18","3-Jun-18","15-Jun-18","16-Jun-18","23-Jun-18","1-Jul-18",6,NA,"Depredated","0700EE08CB","","F"
"B9",2018,"H","22-May-18","30-May-18","11-Jun-18","11-Jun-18","18-Jun-18","26-Jun-18",8,NA,"Depredated","0300025F50","","M"
"B9",2018,"H","22-May-18","30-May-18","11-Jun-18","11-Jun-18","18-Jun-18","26-Jun-18",8,NA,"Depredated","011017A0B1","","F"
"B11",2018,"H","24-May-18","3-Jun-18","15-Jun-18","15-Jun-18","22-Jun-18","30-Jun-18",7,NA,"Depredated","011017A375","","M"
"B11",2018,"H","24-May-18","3-Jun-18","15-Jun-18","15-Jun-18","22-Jun-18","30-Jun-18",7,NA,"Depredated","011017A3DB","","F"
